Energy l=0 l=1 l=2 l=3 l=4 l=5 l=6 l=7 l=8 l=9 l=10
1.00000 2.65368 3.35704 3.29088 3.17674 3.15041 0.00302 0.00122 0.00057 0.00029 0.00016 0.00009
1.24500 2.50700 3.29932 3.32474 3.19316 3.15504 0.00473 0.00191 0.00090 0.00046 0.00025 0.00015
1.49000 2.37349 3.23187 3.34712 3.21079 3.16043 0.00686 0.00275 0.00129 0.00067 0.00037 0.00022
1.73500 2.25047 3.16001 3.35800 3.22867 3.16645 0.00942 0.00375 0.00176 0.00091 0.00051 0.00030
1.98000 2.13606 3.08652 3.35855 3.24588 3.17293 0.01246 0.00490 0.00230 0.00119 0.00067 0.00040
2.22500 2.02886 3.01293 3.35037 3.26169 3.17972 0.01604 0.00622 0.00291 0.00151 0.00085 0.00050
2.47000 1.92778 2.94004 3.33508 3.27548 3.18665 0.02024 0.00771 0.00359 0.00187 0.00105 0.00062
2.71500 1.83200 2.86832 3.31412 3.28683 3.19358 0.02516 0.00936 0.00436 0.00226 0.00127 0.00076
2.96000 1.74086 2.79801 3.28869 3.29550 3.20034 0.03098 0.01118 0.00519 0.00270 0.00151 0.00090
3.20500 1.65381 2.72921 3.25978 3.30134 3.20680 0.03792 0.01318 0.00610 0.00317 0.00178 0.00106
3.45000 1.57041 2.66198 3.22817 3.30436 3.21284 0.04634 0.01537 0.00709 0.00368 0.00206 0.00123
3.69500 1.49029 2.59630 3.19449 3.30462 3.21835 0.05680 0.01774 0.00816 0.00422 0.00237 0.00142
3.94000 1.41314 2.53214 3.15923 3.30226 3.22322 0.07019 0.02031 0.00931 0.00481 0.00270 0.00161
4.18500 1.33868 2.46948 3.12278 3.29744 3.22738 0.08806 0.02308 0.01053 0.00544 0.00305 0.00182
4.43000 1.26669 2.40824 3.08545 3.29035 3.23077 0.11325 0.02607 0.01184 0.00611 0.00342 0.00204
4.67500 1.19696 2.34837 3.04749 3.28120 3.23335 0.15172 0.02927 0.01323 0.00682 0.00382 0.00228
4.92000 1.12933 2.28982 3.00910 3.27017 3.23507 0.21801 0.03271 0.01470 0.00756 0.00424 0.00253
5.16500 1.06364 2.23254 2.97042 3.25745 3.23592 0.35831 0.03640 0.01626 0.00835 0.00467 0.00279
5.41000 0.99976 2.17646 2.93160 3.24322 3.23589 0.79609 0.04035 0.01790 0.00918 0.00514 0.00306
5.65500 0.93755 2.12153 2.89272 3.22765 3.23499 2.09794 0.04458 0.01963 0.01005 0.00562 0.00335
5.90000 0.87691 2.06770 2.85386 3.21088 3.23321 2.68323 0.04910 0.02145 0.01096 0.00613 0.00365
6.14500 0.81775 2.01493 2.81510 3.19305 3.23058 2.85260 0.05394 0.02336 0.01192 0.00665 0.00396
6.39000 0.75998 1.96316 2.77648 3.17429 3.22712 2.92735 0.05913 0.02536 0.01292 0.00720 0.00429
6.63500 0.70352 1.91236 2.73804 3.15472 3.22286 2.96867 0.06470 0.02746 0.01396 0.00778 0.00463
6.88000 0.64828 1.86247 2.69983 3.13442 3.21781 2.99448 0.07067 0.02965 0.01504 0.00838 0.00498
7.12500 0.59422 1.81348 2.66185 3.11349 3.21203 3.01183 0.07708 0.03194 0.01617 0.00900 0.00535
7.37000 0.54126 1.76533 2.62415 3.09201 3.20553 3.02401 0.08398 0.03434 0.01734 0.00964 0.00573
7.61500 0.48935 1.71800 2.58672 3.07005 3.19835 3.03276 0.09142 0.03683 0.01855 0.01031 0.00612
7.86000 0.43844 1.67145 2.54958 3.04767 3.19053 3.03910 0.09946 0.03944 0.01981 0.01100 0.00653
8.10500 0.38848 1.62565 2.51275 3.02494 3.18210 3.04365 0.10816 0.04215 0.02112 0.01171 0.00695
8.35000 0.33944 1.58057 2.47622 3.00190 3.17309 3.04680 0.11760 0.04498 0.02247 0.01245 0.00739
8.59500 0.29125 1.53619 2.44001 2.97860 3.16354 3.04885 0.12788 0.04793 0.02387 0.01321 0.00784
8.84000 0.24390 1.49248 2.40411 2.95507 3.15349 3.04997 0.13911 0.05099 0.02531 0.01400 0.00830
9.08500 0.19735 1.44942 2.36853 2.93136 3.14295 3.05031 0.15140 0.05418 0.02681 0.01481 0.00877
9.33000 0.15155 1.40698 2.33327 2.90750 3.13196 3.04998 0.16492 0.05749 0.02835 0.01564 0.00926
9.57500 0.10649 1.36515 2.29832 2.88351 3.12055 3.04905 0.17984 0.06094 0.02994 0.01650 0.00977
9.82000 0.06212 1.32389 2.26369 2.85942 3.10875 3.04759 0.19637 0.06453 0.03158 0.01738 0.01029
10.06500 0.01843 1.28320 2.22937 2.83525 3.09658 3.04565 0.21478 0.06826 0.03327 0.01829 0.01082
10.31000 -0.02460 1.24305 2.19537 2.81102 3.08406 3.04326 0.23537 0.07214 0.03501 0.01922 0.01136
10.55500 -0.06702 1.20342 2.16166 2.78676 3.07123 3.04045 0.25852 0.07618 0.03681 0.02018 0.01192
10.80000 -0.10883 1.16431 2.12826 2.76247 3.05810 3.03727 0.28470 0.08037 0.03865 0.02117 0.01250
11.04500 -0.15005 1.12569 2.09516 2.73818 3.04469 3.03372 0.31448 0.08474 0.04055 0.02218 0.01309
11.29000 -0.19072 1.08755 2.06236 2.71389 3.03102 3.02984 0.34855 0.08928 0.04250 0.02321 0.01369
11.53500 -0.23084 1.04987 2.02985 2.68962 3.01711 3.02563 0.38778 0.09400 0.04451 0.02428 0.01431
11.78000 -0.27044 1.01264 1.99762 2.66537 3.00298 3.02112 0.43324 0.09892 0.04658 0.02536 0.01494
12.02500 -0.30953 0.97585 1.96568 2.64116 2.98864 3.01632 0.48623 0.10404 0.04870 0.02648 0.01559
12.27000 -0.34812 0.93948 1.93401 2.61699 2.97411 3.01124 0.54832 0.10937 0.05088 0.02762 0.01625
12.51500 -0.38624 0.90353 1.90262 2.59287 2.95941 3.00589 0.62134 0.11493 0.05312 0.02879 0.01692
12.76000 -0.42390 0.86798 1.87150 2.56881 2.94454 3.00029 0.70730 0.12072 0.05542 0.02998 0.01761
13.00500 -0.46111 0.83282 1.84064 2.54482 2.92953 2.99445 0.80813 0.12676 0.05778 0.03121 0.01832
13.25000 -0.49788 0.79804 1.81005 2.52089 2.91437 2.98837 0.92519 0.13307 0.06021 0.03246 0.01904
13.49500 -0.53424 0.76363 1.77971 2.49704 2.89909 2.98207 1.05842 0.13965 0.06269 0.03374 0.01978
13.74000 -0.57018 0.72958 1.74962 2.47326 2.88369 2.97555 1.20547 0.14652 0.06525 0.03504 0.02053
13.98500 -0.60572 0.69588 1.71978 2.44957 2.86818 2.96883 1.36109 0.15370 0.06787 0.03638 0.02129
14.23000 -0.64087 0.66252 1.69018 2.42595 2.85258 2.96190 1.51784 0.16121 0.07056 0.03774 0.02207
14.47500 -0.67565 0.62949 1.66082 2.40243 2.83688 2.95479 1.66791 0.16907 0.07331 0.03913 0.02287
14.72000 -0.71006 0.59679 1.63170 2.37899 2.82111 2.94749 1.80527 0.17730 0.07614 0.04056 0.02368
14.96500 -0.74411 0.56441 1.60280 2.35565 2.80526 2.94001 1.92670 0.18593 0.07905 0.04201 0.02451
15.21000 -0.77781 0.53234 1.57414 2.33240 2.78934 2.93236 2.03155 0.19497 0.08202 0.04349 0.02535
15.45500 -0.81117 0.50057 1.54570 2.30924 2.77337 2.92455 2.12084 0.20447 0.08508 0.04500 0.02621
15.70000 -0.84420 0.46910 1.51747 2.28618 2.75734 2.91658 2.19641 0.21443 0.08821 0.04654 0.02709
15.94500 -0.87691 0.43792 1.48946 2.26322 2.74126 2.90845 2.26027 0.22491 0.09142 0.04812 0.02798
16.19000 -0.90930 0.40701 1.46167 2.24035 2.72514 2.90018 2.31432 0.23593 0.09472 0.04972 0.02888
16.43500 -0.94139 0.37639 1.43408 2.21758 2.70898 2.89177 2.36022 0.24754 0.09810 0.05136 0.02981
16.68000 -0.97317 0.34603 1.40669 2.19492 2.69279 2.88323 2.39935 0.25976 0.10156 0.05303 0.03075
16.92500 -1.00466 0.31594 1.37951 2.17235 2.67658 2.87455 2.43286 0.27265 0.10512 0.05473 0.03170
17.17000 -1.03586 0.28611 1.35253 2.14988 2.66034 2.86575 2.46166 0.28626 0.10876 0.05646 0.03267
